translit,pos,english,logograms,cuneiform,freq
abūsu,N,storehouse,,,7
aganutillû,N,dropsy,A.GA.A.NU.TIL.LA.A A.GA.NU.TIL.A A.GA.NU.TIL.LA,𒀀𒂵𒀀𒉡𒌀𒆷𒀀,7
aguhhu,N,sash,,,7
amargirimhilibû,N,(a stone),,,7
amaru,N,pile of bricks; side wall,,,7
ammammu,N,(a large beer jar),,,7
amursiggu,N,(a bird),,,7
ana pāni nadû,V,coat,,,7
aplūtu,N,status of heir,,,7
ararru,N,miller,,,7
arattû,AJ,excellent,,,7
ardat lilî,N,(a storm demon),KIS.KI.LI.KI KIS.KI.LI.LI,,7
argannu,N,(a conifer and its resin); (an aromatic plant and its resin),,,7
arhu,AJ,fast; quick,,,7
arḫiš,AV,quickly,,,7
asanītu,N,(an oleiferous plant),,,7
atulīmānu,N,both hands,,,7
awurriqānu,N,jaundice; (a bird),,,7
ayyu,QP,which?,,,7
ayābu,N,enemy,,,7
azupīrānītu,AJ,resembling saffron; that which resembles saffron,,,7
ašartu,N,waste land,,,7
ašlukatu,N,(a kind of rush),,,7
aḫû,AJ,outside; non-canonical,,,7
aḫāzu,V,take; instigate; light,,,7
babbilu,N,bearer,,,7
bakû,AJ,weeping; wept,,,7
ban,N,the sign BAN₂,,,7
banbirru,N,leather coat,,,7
banītu,N,something good; favourable words; good fortune; beauty,,,7
baqāru,V,claim; (lay) claim to; claim for oneself,,,7
baṭiltu,N,interruption,,,7
Bit-Dakkuri,GN,1,,,7
bitqu,N,break(age); one-eighth of a shekel,,,7
biādu,V,spend the night; accommodate,,,7
biāru,V,choose; select; examine,,,7
bišītu,N,intelligence; object; property,,,7
budduru,N,bundle of reeds,,,7
burgû,N,(a type of offering),,,7
bussuru,V,bring message; deliver (pleasant) news; bring; send,,,7
bābānû,AJ,outer,,,7
bēt erši,N,bedroom,,,7
dayyālu,N,prowling one; (designation of gold); scout,,,7
DUMU.EDUBA,N,(military) scribe,,,7
duppussû,N,younger brother,,,7
dušmû,N,slave born in the house; servant,,,7
dālû,N,water drawer; (a bird),,,7
dūdu,N,(a bird),,,7
ebīhu,N,(a rope or girdle); lining; rope,,,7
edinnu,N,the sign EDIN,,,7
edānu,N,fixed time,,,7
ekdu,N,wild one,,,7
eklu,AJ,dark; gloomy; dim,,,7
ellūtu,N,purity; (a type of tree),,,7
emṣu,AJ,sour,,,7
enû,AJ,overturned; changed,,,7
erbettu,N,team of four,,,7
eršahungû,N,(an Emesal cultic prayer); penitential psalm,,,7
eṭlu,AJ,manly; young man,,,7
gašāru,V,be(come) strong; showing oneself superior in strength; dominate; concentrate; strengthen oneself,,,7
gaṣṣu,AJ,cruel; murderous,,,7
gišhaššu,N,wooden mace,,,7
gubbu,N,cistern; well,,,7
gupšu,N,surge,,,7
habullu,N,debt,,,7
hamšīšu,AV,five times,,,7
harbu,N,plough,,,7
harriru,N,vole,,,7
harāšu,V,be in labor; being in labour; bind (on); binding on; bring together,,,7
haršu,AJ,"bound (on, together); bound",,,7
hašlu,AJ,crushed; bruised (grain),,,7
himiṭ ṣēti,N,heat stroke?,,,7
hiʾālu,N,(a kind of military force); army; (armed) force,,,7
hubšašû,N,(a pottery vessel),,,7
huphuppu,N,(a container),,,7
huptu,N,hole,,,7
hupšu,N,(member of) lower class; rabble,,,7
hurdatu,N,female pudenda; vulva; cross-beam,,,7
huribtu,N,desert,,,7
ibissû,N,(financial) loss,,,7
idāšūš,N,a creepy-crawly,,,7
igigubbû,N,coefficient; constant,IGI.GUB,,7
imsaršubbû,N,(a kind of tablet),,,7
ina irat,PRP,opposite,,,7
ipru,N,ration,,,7
išartu,N,prosperity; justice; correct one,,,7
išippūtu,N,role of purification priest; rôle of a purification priest; purification,,,7
iškarissu,N,(a type of rodent); (a kind of rodent),,,7
išparu,N,weaver,,,7
ištēnīšu,AV,for the first time; one time,,,7
iṣṣurtu,N,female bird; wooden object?,,,7
kabkūru,N,(a container),,,7
kabšarru,N,stone-carver; jeweller,,,7
kakkabānu,N,starry one; bird,,,7
kakkišu,N,weasel; polecat,,,7
kanūtu,N,the cherished; cherished one,,,7
kaparru,N,shepherd-boy; (a whip or goad),,,7
karmu,AJ,delayed; blocked; stored; stocked up; placed,,,7
kartu,AJ,slicing; shredded; cut up,,,7
karān šēlebi,N,fox-vine (a plant),,,7
kaššu,AJ,massive,,,7
kaṣû,N,cold,,,7
kaṣāpu,V,think; take something into consideration; think out; figure out; plan,,,7
kaṣṣu,AJ,trimmed,,,7
kinattūtu,N,colleagueship; personnel,,,7
kiplu,N,twisting; twine,,,7
kiūru,N,(a metal basin),,,7
kukkallānu,N,of fat-tailed type,,,7
kukkubātu,N,part of the animal stomach,,,7
kunnû,AJ,cared for; honored,,,7
kurkuzannu,N,piglet,,,7
kurû,N,short one; dwarf,,,7
kurītu,N,shin; short one,,,7
kî maṣi,PRP,how many?; as if; how long?; since,,,7
kī,SBJ,when,,,7
kīṣu,AJ,flayed; skinned,,,7
kūgu,N,the sign KU₃,,,7
labbūnu,N,(a stand or pedestal?); (a stand or pedestal)?,,,7
labku,AJ,soft,,,7
labnu,AJ,(spread) flat; (a type of basket),,,7
labābu,V,rage; to rage; become furious,,,7
lahantu,N,(a bird); courtesan,,,7
lapnu,N,poor one,,,7
lawu,AJ,surrounded,,,7
laḫru,N,sheep; ewe,,,7
libānu,N,neck(‑tendons); neck; neck seal,,,7
ligimû,N,kernel; descendant; shoot,,,7
lummu,V,dissolve?,,,7
lupānu,N,(a terebinth),,,7
lutû,N,twig,,,7
mahrâ,AJ,first; older,,,7
malāhu,V,tear out; tearing out; be(come) torn out,,,7
margūṣu,N,(a resinous bush); resinous bush; resin,,,7
marû,V,fatten; fattening; supply with fodder,,,7
massûtu,N,reading-out; lesson; call; reading out,,,7
masû,V,wash; washing,,,7
mazāʾu,V,press; rape; squeeze; to press; pressing,,,7
maštû,N,drinking vessel; drink,,,7
maʾlalu,N,wooden mortar; wooden mortar?,,,7
menû,V,love; grow fond of,,,7
mešēnu,N,sandal,,,7
minde,AV,perhaps; certainly,,,7
mišlānū,N,half (shares); (a drainage tile),,,7
mubêšu,N,implement for stirring,,,7
mugammeru,N,one who is totally in control,,,7
mukallimu,N,one who shows; one who reveals,,,7
mulappittu,N,one who impoverishes,,,7
munû,N,(a type of bed); bed; (a foot disease),,,7
mupparšu,AJ,flying; winged,,,7
muttalliku,AJ,mobile; restless; one who goes,,,7
muzzapru,AJ,very bad; evil (person); evil,,,7
muzzazu,N,standing; attendant; one who stands; serving,,,7
mušazninu,N,one who makes it rain,,,7
mušharmiṭu,N,one who dissolves,,,7
muštabrītu,AJ,enduring; seaworthy ship; seaworthy,,,7
muštarrihu,N,self-important one,,,7
muḫalliqu,N,one who destroys,,,7
māhī,NU,one-twelfth of a shekel,,,7
māḫiru,N,opponent; equal; recipient; rival,GABA.RI,𒃮𒊑,7
mērû,N,pregnancy,,,7
mēzezu,N,wrath,,,7
nabalkutu,AJ,crossed over; having crossed over; rebellious,,,7
nahāšu,V,be(come) luxuriant; prospering; (be)come luxuriant; becoming luxuriant,,,7
nakkapu,N,tip; (projecting part),,,7
naktamu,N,cover; lid,,,7
nalbân,AV,all around,,,7
namallu,N,plank bed; plank-bed,,,7
namhaṣtu,N,(a wooden pole),,,7
naplaqtu,N,slaughtering knife,,,7
naplastu,N,blinker,,,7
napraṣu,N,chisel,,,7
naqbītu,N,utterance; invocation; litany,,,7
narābu,V,soften; softening,,,7
nassapu,N,(measuring vessel)?; (a measuring vessel)?; (a measuring vessel); trap,,,7
naškunu,AJ,put down; came into existence,,,7
našāpu,V,blow; winnow; blow (something) away; blowing (something) away; winnowing; to blow (something) away,,,7
nehsu,N,inlay?,,,7
nukkatu,N,(an aromatic plant),,,7
nuppuhu,AJ,swollen; contradictory; ignited,,,7
nāgir ēkalli,N,palace herald,,,7
nāhiru,N,snorter; dolphin,,,7
nāsiḫu,N,one who removes,,,7
nātiktu,N,dripper; (a libation vessel); 'dripper' libation vessel,,,7
nāṭilu,N,seeing one; seeing,,,7
pallišu,N,housebreaker; (a stone); (stone) borer,,,7
pappardilû,N,agate?; (a black stone with one white stripe),,,7
papānu,N,(a kind of rush or sedge),,,7
paslu,AJ,twisted,,,7
pasqû,N,(a tool),,,7
patiu,AJ,distant,,,7
pirru,N,corps; payment collection,,,7
puhhu,V,exchange; exchanging; change,,,7
puṭṭuru,AJ,released; loose; dissolved,,,7
pâdu,V,confine; fetter; be pressed into service?; imprison,,,7
pāštu,N,axe,,,7
qaqû,N,(a bird),,,7
qersu,N,cart; (a secluded place),,,7
qeršu,N,strip,,,7
quddu,N,(kind of) axe; (a tamarisk product),,,7
qurbūtu,N,closeness; bodyguard,,,7
qurunnu,N,heap; pile (of corpses),,,7
qīpu,AJ,believable; trusting; representative; trusted,,,7
qūqānu,N,(a worm); (an eye-disease); eye disease,,,7
rab bēti,N,major-domo,,,7
rab danībāti,N,chief victualler,,,7
rakbu,N,rider; mounted messenger,RA.GABA,𒊏𒃮,7
rarû,N,the sign RA,,,7
risittu,N,soaking; decoration on a door,,,7
râku,V,pour out; pouring out,,,7
rûmtu,N,darling,,,7
rāḫītu,N,creatress; (a type of witch),,,7
rēmūtu,N,mercy,,,7
rīšu,AJ,celebrated; exultant; exulting; rejoiceful,,,7
rīṣu,N,help,,,7
rūqiš,AV,from afar,,,7
sabāʾu,V,rock; billow; rocking; wag oneʾs tail; wag one's tail,,,7
salmu,N,peaceful one,,,7
salû,V,deceive; lie,,,7
samdu,AJ,ground; milled,,,7
samāhu,V,mix; unite,,,7
samītu,N,wall-plinth; revetment,,,7
sannu,N,(a fishing net),,,7
santak,N,the sign DIŠ,,,7
saparru,N,cart; wagon,,,7
sarqatu,N,abomasum,,,7
satālu,V,plant,,,7
sikdu,N,kind of mantis,,,7
sikru,N,dam; scab; abscess,,,7
sinbu,N,sanitary towel,,,7
siqqurrutu,N,ziggurrat,,,7
sugû,N,famine,,,7
sāgu,N,sanctuary; cella; sanctury; (a skirt); sash; sackcloth,,,7
sāḫirtu,N,turning; (a type of sorceress),,,7
tahapšu,N,felt; horse deck,,,7
tahû,N,a young animal; additional one,,,7
takpītu,N,(a kidney-shaped gem),,,7
talammu,N,rump; torso?; torso; container,,,7
tallultu,N,trappings,,,7
tanēhtu,N,pacification; relaxation; sighing,,,7
taslītu,N,denigrating talk,,,7
taṣliltu,N,roof(ing); roofing,,,7
tukkulu,AJ,encouraged; trusting,,,7
tuppānu,N,(meaning unknown); (a kind of stone); bundle of reeds (part of a fence); reed bundle,DUB.BA.AN,𒁾𒁀𒀭,7
turû,N,(a kind of) garlic; with one bulb,,,7
tuskû,N,(a mineral),,,7
tuʾāmu,N,twin,,,7
tâpu,V,devote oneself; devoting oneself; be(ing) attentive,,,7
têʾu,V,cover (up); wall up,,,7
tērubti,N,entry; entrance,,,7
ubbuṭu,N,starvation; swollen one; famine,,,7
udutilû,N,live sheep,UDU.TI.LA,,7
UGU.AŠ.GI₃.GI₃,N,(a mineral),,,7
uklu,N,darkness,,,7
ulinnu,N,coloured twine,,,7
ulālu,N,weak (person); weakling; weak; helpless person,,,7
umunu,N,the sign DE₂,,,7
uppulu,AJ,paid off; late; born late in season,,,7
upumtu,N,(a type of) flour,,,7
uzzubu,N,neglected one; monstrous one,,,7
uššušu,AJ,very distressed,,,7
uṣṣurtu,N,plan,,,7
wattaru,N,substitute; waggon?; reserve ox,,,7
wurrušu,N,very dirty one,,,7
zimizzu,N,(bead of a specific shape),,,7
zinnu,N,rain,,,7
zirūtu,N,s.th. in the body; boiled fat?; (something in the body),,,7
zūzu,N,gold; half unit,,,7
ādiru,AJ,full of awe; afraid; fearful,,,7
ālilu,N,brave one,,,7
ēdēnû,AJ,single; lone; sole,,,7
ša-ziqni,N,bearded courtier,,,7
šabšu,AJ,gathered; gathered in; gathered together,,,7
šahapu,N,wild boar,,,7
šalhiu,N,outer wall,,,7
šalhu,N,(a linen garment for divine statues),,,7
šanītu,AV,a second time; something other,,,7
šaplû,N,lower one,,,7
šappu,N,bowl; (a vessel),,,7
šapāpu,V,move along; come silently; moving along; walking,,,7
šaqāru,V,pierce,,,7
šarku,AJ,presented,,,7
šarqiš,AV,secretly,,,7
šarāqu,V,steal; be(come) abducted,,,7
šaršabiṭṭu,N,(a tree),,,7
šatiqtu,N,(a vessel),,,7
šatānu,V,urinate,,,7
šawû,V,roast; roasting,,,7
šeršerratu,N,chain,,,7
šibqū,N,scheme; plan; tricks; plot,,,7
šihittu,N,fear; (meaning unknown); rinsed one,,,7
ŠU.BI.AŠ.AM₃,AV,ditto,,,7
šuginû,N,(a type of offering),,,7
šuhruru,V,lay waste; laying waste; reduce to silence,,,7
šukunnû,N,estimated yield,,,7
šuqlu,N,marsh,,,7
šuruptu,N,burning; (funeral) burning; burnt-offering,,,7
šuršû,AJ,supplied with; provided,,,7
šutērsû,V,make ready; prepare; making ready,,,7
šuškunu,AJ,in bad repute; caused to be(come) placed; dismissed; rejected,,,7
šušmarû,N,basin,,,7
šīqu,N,watering; irrigation-song; (an illness); levelling off (of grain in measuring vessel); (vessels) levelled full; irrigation,,,7
šūlû,N,street; garrison troops,,,7
šūlūtu,N,votive gift; (meaning unknown); garrison?,,,7
ḫabû,V,draw (water),,,7
ḫallūru,N,peas,,,7
ḫaṭṭu,N,stick; sceptre,GIDRU,,7
ṣarru,AJ,flashing; dripping; dripping?,,,7
ṣillānû,AJ,shady; shade-loving,,,7
ṣinnarbubtu,N,reed node,,,7
ṣinnatān,N,(a pair of wooden objects); halter,,,7
ṣirihtu,N,lamentation; inflammation,,,7
ṣudû,N,rations; provisions,,,7
ṣâlu,V,fight; fighting,,,7
ṣāhitu,N,"oil, wine presser; oil-presser",,,7
ṣāʾidu,AJ,roaming; restless; roaming one; roving,,,7
ṣūdu,N,whirling; vertigo,IGI.NIGIN IGI.NIGIN.NA,,7
ṣūlātu,N,battle,,,7
ṭubû,N,(a kind of reed),,,7
ṭēru,N,mud,,,7
ṭūbātu,N,good will; friendliness,,,7
abahšinnu,N,stalk; early harvested grain; (edible commodity),,,6
abat šarri,N,king's word,,,6
adi lā,AV,before,,,6
agasalakku,N,(a kind of axe); (a type of metal plating),,,6
ahāʾiš,N,each other,,,6
ahūla,AV,on the other bank; beyond; on the other side,,,6
akkannu,N,wild ass,,,6
akī maʾdê,AV,very much,,,6
akīlum,N,eater,,,6
algarsurrû,N,drumstick?; drumstick,,,6
amamû,N,(an eye cosmetic),,,6
amar,N,the sign AMAR,,,6
amartu,N,partition wall; side; (a measure)?,,,6
amūdāya,N,(a wooden part of the harness),,,6
anaqqu,N,(a drinking vessel),,,6
anīna,J,hear me!,,,6
apillû,N,(a cultic performer),,,6
aragubgunû,N,the sign DU@g,,,6
ariru,N,(a priest uttering curses); (an epithet of fire),,,6
arkatu,N,rear; back; circumstance,EGIR-MU,𒂕𒈬,6
arkiš,AV,back,,,6
armanniš,AV,like an apricot,,,6
arû,N,calculation; result; product in multiplication; grindstone; granary; millstone,,,6
atamru,N,first-hand account?,,,6
atûtu,N,function of doorkeeper; function of gatekeeper,,,6
ayabba,N,sea,A.BA,𒀀𒁀,6
ašariš,AV,there,,,6
bagurru,N,(a ladel),,,6
balar,AV,on the other bank,BA.LA.RI,𒁀𒆷𒊑,6
balāt,PRP,without,,,6
baqmu,AJ,plucked,,,6
bardû,N,crossbar,,,6
barû,N,diviner,,,6
baturru,N,(small chisel)?; (a small chisel)?,,,6
berâtu,N,waters,,,6
biqlētu,N,germinating malt,,,6
birbirru,N,radiance,,,6
biṣṣūr atāni,N,(a type of seashell),,,6
buhlalû,N,(an Elamite class of priests),,,6
burhiš,N,buffalo,,,6
burku,N,knee; lap,,,6
bušlu,N,ripening; melting; smelting,,,6
bâlu,AJ,praying,,,6
bêru,V,choose; examine; select; choosing,,,6
bēlet ikki,N,ill-tempered woman; furious female,,,6
bēlet ṣerri,N,female enemy,,,6
bēt abi,N,paternal house; paternal house(hold),,,6
bēt rēdûti,N,succession palace,,,6
būnzerru,N,(fowler's) hide,,,6
damdāmu,N,(a kind of mule); mule,,,6
dapniš,AV,aggressively,,,6
dašāpu,V,be(come) sweet; be(com)ing sweet,,,6
dilimmu,N,the sign LIŠ,,,6
dippu,N,(a kind of wooden door),,,6
dubdimmu,N,potter's tool,,,6
duhnu,N,millet,,,6
dullulu,AJ,oppressed,,,6
durummu,N,(a bird),,,6
dušû,N,quartz,,,6
dāʾiku,N,killer,GAZ,,6
dāʾinu,N,judger; one who gives judgement,,,6
ebertān,N,on the opposite bank,,,6
ebû,AJ,thick,,,6
ebūrû,AJ,summer; that which occurs in summer,,,6
edappātu,N,fringe of a towel,,,6
ekdūti,AJ,wild,,,6
elât šamê,N,zenith,AN.PA,𒀭𒉺,6
enāšu,V,be(come) weak; weaken; make weak,,,6
epēqu,V,embrace; growing over; embracing; grow over,,,6
erbe,N,four,,,6
eriu,AJ,naked; destitute; empty,,,6
erkallu,N,underworld,,,6
errēšu,N,cultivator; plowman; tenant farmer,,,6
erullu,N,(a bird),,,6
essû,N,hole in ground; clay-pit; pit,,,6
esāpu,V,gather together; be(come) decanted,,,6
eš,NU,three,,,6
ešgešpû,N,the sign EŠ,,,6
ešgurtu,N,ring,,,6
eškadrû,N,(a yellow dye or paste),,,6
ešrû,AJ,tenth,,,6
ešāru,V,be(come) straight; set right; purge; straighten; go straight,,,6
eṣdu,AJ,harvested,,,6
eṣentu,N,unit; a unit of length; bone,,,6
eṣāru,V,draw,,,6
gallubu,AJ,shorn; shaved,,,6
gamertu,N,completeness; grammatical term,,,6
gamru,N,complete one; totality,TIL,𒌀,6
ganāṣu,V,lift; flaring the nostrils; sneering; wrinkling one's nose,,,6
gapnu,N,bush; fruit tree,,,6
gazāzu,V,shear; shearing,,,6
gigurrû,N,the sign U,,,6
gildu,N,(animal) hide,,,6
gimratu,N,totality,,,6
giṣṣu,N,thorn(-bush),,,6
gugû,N,the sign GU,,,6
gullulu,V,sin; commit sacrilege,,,6
habû,N,soft one,,,6
habšu,AJ,chopped; crushed; hard; shattered,,,6
habšānû,AJ,(designation of wool),,,6
habūbītu,N,bee,,,6
halpû,N,frost; ice,,,6
hamuttu,N,haste,,,6
handabillu,N,(a type of shell); (a kind of shell),,,6
handūru,N,spur; spur?,,,6
hanzizītu,N,(a flying insect),,,6
hardu,AJ,watchful; restless; supervised; vigilant; supplied,,,6
harru,AJ,hollow; hollowed (out),,,6
harruhāya,N,vulture,,,6
harūbu,N,carob (tree); carob,,,6
hassu,N,clever one,,,6
hašhu,AJ,one who needs; desiring; needy; desired,,,6
hašmānu,N,(a colour); (a coloured stone); amethyst,,,6
hepēru,V,dig; digging,,,6
hilammu,N,grasshopper; (a grasshopper),,,6
hillu,N,covering; hollow stem; disturbance; (meaning uncertain); cover,,,6
hiṣibtu,N,chip,,,6
hulamīsu,N,(a tree),,,6
hurūgu,N,(a goose)?,,,6
hutmu,N,bird,,,6
hālilu,N,meaning unclear; designation of canal; designation of beer; (meaning uncertain),,,6
hāpu,N,(a dark earth),,,6
hūšu,N,red (colour),,,6
ibhu,N,(a kind of bug),,,6
idru,N,saltpetre,,,6
igigallūtu,N,wisdom,,,6
igru,N,hire; wages; wage,,,6
ilṣu,N,joy; loins,,,6
imgipû,N,(a kind of list),,,6
imsarmupadû,N,(a kind of tablet),,,6
imšukku,N,(bun-shaped?) exercise tablet; clay cover,,,6
ina qanni,PRP,near; among; once,,,6
ina qāti kullu,V,consider,,,6
indūru,N,(a waterskin); water-skin,,,6
inu,N,(a stringed musical instrument),,,6
ipṭiru,N,ransom (money),,,6
iria,AV,side by side,,,6
ispillurtu,N,cross; crossroads,,,6
itbāru,N,friend,,,6
ittamir,N,(a stone),,,6
izzirtu,N,curse,,,6
išpallurtu,N,cross,,,6
ištarūta,AV,(a musical term); ištarūtu-style,,,6
ištu muhhi,PRP,from; concerning; because of,,,6
KA.BAD,N,(a medicinal plant),,,6
kad,N,the sign KAD₅,,,6
kadādu,V,rub in; rubbing in,,,6
kagallu,N,fallow land; (a kind of) waste land; (a kind of) wasteland,,,6
kakkabiš,AV,like stars,,,6
kalbānu,N,(a plant),,,6
karāmu,V,grasp; restrain; grasping; (meaning uncertain); withhold,,,6
kas,N,the sign DU@s,,,6
kassūsu,N,(hunting) falcon,,,6
katappû,N,bridle; covering,,,6
kattû,N,corroborator,,,6
kihullû,N,mourning rites; mourning place,KI.HUL,,6
kilīliš,AV,as with a wreath,,,6
kimaḫḫu,N,grave; tomb,KI.MAH,𒆠𒈤,6
kinītu,N,concubine; concubine?,,,6
kisibirrītu,N,coriander,,,6
kisurratu,N,(reed pipe)?; (a reed pipe)?,,,6
kitmu,N,cover(ing); lyre,,,6
kitpulu,AJ,entwined,,,6
kittabru,N,arm; (synonym for arm); mole,,,6
kišahû,N,(an offering),,,6
kiššānu,N,(a leguminous vegetable),,,6
kubburu,AJ,very thick,,,6
kubukku,N,strength,,,6
kulbābāniš,AV,like ants,,,6
kullaru,N,Kullar-juniper,,,6
kullu,N,hoe; nut(-kernel),,,6
kupputu,AJ,conglomerated; (designation of carnelian); dense; very compact,,,6
kurkattam,AV,like a goose,,,6
Kurnugi,N,The Underworld; the Underworld,,,6
kuāšu,V,delay,,,6
kuššudu,AJ,chased (off),,,6
kâdu,V,be(come) distressed?; cease?; ceasing?; watch; being attentive; watching; be(come) observed,,,6
kālû,N,(a bird),,,6
kīdītu,N,exterior part; (part of the exta),,,6
kūṣû,AJ,winter('s); that which occurs in winter,,,6
labubittu,N,(a plant),,,6
labāṣu,N,(a disease demon),,,6
ladinnu,N,"(an aromatic); (an aromatic, phps.) ladanum resin; ladunum resin",,,6
lalâ šebû,V,be(come) satisfied,,,6
letû,AJ,split,,,6
libbu ṭābu,N,satisfaction,,,6
liblibbu,N,transplanted date palm offshoot; descendant; fetus,,,6
libītu,N,entourage; enclosure,,,6
lidānu,N,chick,,,6
limûtu,N,encirclement?,,,6
lub,N,the sign LU.EŠ₂,,,6
lummunu,AJ,very bad; very evil,,,6
luṭû,N,(a dagger); sharp part of a reed; (a sharp part of a reed); (sharp part of a reed),,,6
lâdiru,AJ,fearless,,,6
lâṭu,AJ,confined; curbed; embracing,,,6
lāqitu,N,clod-collector; one who collects,,,6
līdānu,N,chick; yound duck,,,6
līmâ,AV,one thousandfold,LIM-A.A,,6
līṭūtu,N,rôle as hostage; rôle of hostage,,,6
magrītu,N,spite(ful act); challenge; abuse,,,6
magulû,N,(a big raft),,,6
makāsu,V,levy customs; levying customs; collect taxes,,,6
malama,AV,once again,,,6
malālu,V,eat one's fill; (meaning uncertain),,,6
mandētu,N,(result of) reconnoitring; information,,,6
manû,AJ,counted; countably many; numbered,,,6
maqartu,N,(a kind of vessel),,,6
maqlālu,N,small thing; syn. for vulva,,,6
marhaṣu,N,rinse; lotion,,,6
marmahhu,N,(a fruit tree),,,6
marrāṣu,AJ,very sickly,,,6
maršu,N,leather strap,,,6
marṣāʾu,N,awl?,,,6
masūktu,N,mortar,,,6
mazzassu,N,position; stand,,,6
mazzizu,N,standing,,,6
mazû,N,"pressed; excessively pressed, cheap beer",,,6
mazūru,N,fuller's stick,,,6
maškadu,N,(an illness of the joints),,,6
mašlu,NU,half,,,6
maṣarru,N,(a vessel),,,6
maṣāru,V,stride about?; move around; enclosing; stride about; circle,,,6
medû,AJ,known,,,6
melqētu,N,(a tax or perquisite)?; (a tax or perquisite),,,6
minûtu,V,count; count(ing),,,6
mitluktu,N,advice,,,6
muballittu,N,reviver,,,6
mudallipu,N,one who disturbs,,,6
mudasû,N,list of names,,,6
mudiktu,N,killer,,,6
mumakkiru,N,one who irrigates,,,6
munaggiru,N,denouncer,,,6
munaššiku,AJ,biting (dog),,,6
munaʾʾišu,N,veterinary surgeon,,,6
mupassisu,N,one who annuls; one who obliterates,,,6
murassibu,N,one who smites,,,6
murtâmu,N,ones who love each other; loving each other,,,6
musukku,N,ritually unclean one; impure one; impure person,,,6
muttu,N,front (part),,,6
muwarrītu,N,(a weapon or tool); comb,,,6
mušerbu,N,one who makes surpassing; one who makes great,,,6
mušgallu,N,great serpent,,,6
mušmahhu,N,(a mythical serpent),,,6
muštahmiṭu,AJ,blazing; ever-ignited,,,6
muštaptinnu,N,(potter's tool); (a potter's tool),,,6
muštapṣu,N,wrestler,,,6
muštēpišu,N,sorcerer,,,6
mušēšertu,N,one who puts in order; palm broom,,,6
muššulu,AJ,made equal; made to resemble; alike; likeness; similar,,,6
muʾaddû,N,one who knows; one who assigns; one who designates,,,6
mâṣu,V,churn; churning,,,6
mētellu,N,lordship; power,,,6
mīšarūtu alāku,V,obtain justice,,,6
mīšertu,N,standard qû-measure; portion of meat,,,6
nabalkattānu,N,insurgent,,,6
nablāṭu,N,subsistence; cure; healing,,,6
nagubinakku,N,(a stone vessel); (a mortar),,,6
nakdu,AJ,beaten; critically ill; throbbing; twitching; dangerous,,,6
nallutu,N,unkmng,,,6
namharturrû,N,container,,,6
namrīriš,AV,like an awe-inspiring radiance,,,6
namzāqu,N,key,,,6
nappītu,N,sieve,,,6
napāqu,V,harden; be(come) constipated; (meaning unknown),,,6
napšuru,N,appeasement; forgiveness; appeased,,,6
napḫaru,N,total; all; whole,NIGIN,,6
narbu,AJ,soft,,,6
naruqqu,N,leather bag,,,6
naršindu,N,sorcerer,,,6
nashuru,N,favorable attention; favourable attention,,,6
nasku,AJ,thrown down; far-flung; lying flat; dropped,,,6
nazaginnakku,N,(a lapis lazuli vessel); lapis mortar,,,6
našramu,N,(chisel or knife)?; (a chisel or knife)?,,,6
naṣû,V,tear down; slitting open; tear off,,,6
nesûtu,N,distance,,,6
nibzu,N,(a kind of) document; tablet; document,,,6
nibṣu,N,young bird,,,6
nindu,N,the sign NINDA₂,,,6
niqru,N,(wood salvaged from) demolition,,,6
nissabu,N,grain,,,6
nizirtu,N,(the act of) cursing; curse; (act of) cursing; accursed,,,6
nukkumu,AJ,amassed,,,6
nuppuqu,V,pay attention; paying attention,,,6
nutāpu,N,(old wood),,,6
nušurrû,N,reduction; malady,,,6
nāpû,N,'sifter' (designation of a caterpillar); caterpillar; sifter,,,6
nāriš,AV,like a river,,,6
nāʾidu,N,one who is attentive,,,6
nāṭilu,AJ,looking; chasing; watching; seeing; seeing (man),,,6
nēlepu,N,(a brewing vessel); a brewing vessel,,,6
pappāsītu,N,(a white lime); (a kind of sulphur),,,6
papān libbi,N,belly; diaphragm,,,6
parrasu,NU,one half,,,6
parriku,N,(part of a saddle); epithet of gods; part of a saddle; (a laudatory title),,,6
paršumu,V,outlive; grow old,,,6
passuku,V,clear (away); remove,,,6
pasuttu,N,(kind of fowling) net; net; (kind of fowling) net?,,,6
patqu,AJ,built; cast,,,6
pašittu,N,(a female demon); (an illness),,,6
pašīru,N,secret; secret place; a secret; (meaning uncertain); hiding; secretly,,,6
paʾṣu,AJ,crushed,,,6
peḫû,AJ,sealed; confined; enclosed; locked; shut up,,,6
peṣû,V,be(come) white; sinter?,,,6
pikallulu,N,aperture in oven,,,6
pituqqu,AJ,assiduous,,,6
pizalluru,N,gecko,,,6
pišiltu,N,(a clay lump); (a clay lump)?,,,6
puhhû,AJ,blocked up,,,6
puhpuhhû,N,squabble; strife; quarrel,,,6
purrušu,AJ,(meaning unknown); meaning unclear,,,6
pussulu,N,crippled one,,,6
puṣuddu,N,mongoose?,,,6
puṭūru,N,release,,,6
pāhatūtu,N,provincial governorship,,,6
pēšu,N,the sign PEŠ₂,,,6
pīdu,N,pardon; redemption,,,6
pīqu,AJ,narrow,,,6
qalāpu,V,peel; be(come) peeled; peeling,,,6
qassu,N,bow,,,6
qayyapu,AJ,tottering,,,6
qimītu,N,burning,,,6
qitmu,N,black paste,,,6
quddušu,AJ,purified,,,6
