translit,pos,english,logograms,cuneiform,freq
kibru,N,bank; (four) quarters of the world; the entire world; riverbank; edge; world; border; shore,,,639
manû,N,unit; a unit of weight; mina,MA MA.NA,𒈠,638
redû,V,accompany; escort; proceed; pursue; be(come) suitable; cause to flow out; be added to; bring,,,632
šuklulu,V,complete; be performed perfectly; completing; finishing; become fully formed; grant full measure of power; make perfect; perfecting,,,625
damqu,AJ,good; beautiful; favor; favorite; good fortune; kind; pretty; favourable,SIG,𒋝,624
kī,PRP,like; as; how; thus; how?; in accordance with; for; if,,,617
narkabtu,N,chariot; (the constellation Auriga),GIGIR,,616
rapšu,AJ,wide; extensive; large; widespread; broad; vast,DAGAL,,616
wardu,N,slave; servant,ARAD SAG.ARAD SAG,𒀴,613
kabtu,AJ,heavy; important; heavy one; honoured; respected; magnate; valuable; venerable,DUGUD IDIM,𒂂,612
tukultu,N,trust; support; help; safety,,,612
šūt,DET,who(m); the one who; those of; concerning; of,,,611
qû,N,flax; string; cord; unit; copper; bronze; thread; filament,GU,𒄖,610
ešertu,N,chapel; temple; group of ten; ešertu tone-scale; shrine; sanctuary; sacred area,,,606
mimma,XP,anything; all; at all; thing; whatever; any; something; everything,,,602
nīru,N,light; yoke; Yoke (on liver); part of the loom; the sign ŠUDUL₃; part of a loom,,,600
zikru,N,utterance; mention; name; pronouncement; reputation; command; speech; oath,,,597
ešēru,V,be(come) well; go straight (away); be well; guide aright; prosper; thrive; go well; advance against,NU.SI.SA SI-ME,𒉡𒋛𒊓,593
ṭuppu,N,(clay) tablet; tablet; chassis; wart; clay tablet; inscription; document,DUB IM IM.DUB GI.DUB.BA.A DUB.BA.A GI-DUB,𒁾,586
āliku,N,goer; traveler; going; one who goes,DU,𒁺,579
gerru,N,way; marching-song; lion cub; (troops on) campaign; campaign; cub; caravan; (religious) procession,KASKAL,𒆜,573
emūqu,N,strength; force; military force; power; ability; troops,,,572
pašāšu,V,anoint; anointing; rub repeatedly; rub; anoint oneself; be anointed; oil; have someone anoint,,,566
tadānu,V,give; giving; put on sale; sale; sell; pay; cause to give; collect,,,564
ammatu,N,unit; forearm; a unit of length; elbow,,,559
lawû,V,surround; besiege; embrace; wrap (up); circle around; circle; encircle; encircling,NIGIN,,558
bētu,N,house; domain; property; estate; household; room; temple; plot of land,,,554
išātu,N,fire; inflammation; lightning,IZI,,554
maṣṣartu,N,observation; guard; watch; service; garrison,EN.NUN EN.NUN.NA EN.NUN-ME,𒂗𒉣,554
kanāšu,V,bow down; bowing down; subjecting; submit; submitting; be subjected; being submissive; make bow down,,,551
halāqu,V,be(come) lost; put an end; be(come) destroyed; destroy; destroying; escape; be destroyed; be(com)ing lost,,,549
šanîš,AV,secondly; again; repeatedly; otherwise; alternatively; similarly; and also; or else,KI.MIN MIN,𒆠𒈫,546
nīqu,N,offering; sacrifice; libation,SISKUR UDU.SISKUR,,542
epištu,N,deed; work; ritual; action; treatment; sorcery; workmanship; ritual (instruction),,,541
leqû,V,take; accept; heed; take away; accepting; taking; gain; receive,TI,𒋾,541
kišādu,N,neck; bank; side; necklace; shore; neck-stone; (neck) seal,,,540
edēšu,V,be(come) new; anew; renew; renewing; be(com)ing new; (be)come new; becoming new; be renewed,GIBIL,,539
mārtu,N,daughter; girl; (young) girl,DUMU.MUNUS DUMU.MUNUS-NI GAN.MUNUS-A.NI MUNUS.DUMU DUMU.MUNUS-A.NI,,533
issi,PRP,with,TA KI,𒋫,526
mahrû,AJ,first; opponent; front; former; older; previous; previously; earlier,,,526
naqû,V,pour (a libation); pour; sacrificing; lay out; present; shed (tears); sacrifice; pouring a libation,BAL,𒁄,525
temmēnu,N,foundation; clay foundation document?; foundation document,,,525
ezēbu,V,leave; give up; abandon; cause to abandon; forsake; desert; giving up; go over,,,524
